drug,reaction,case_count,a,b,c,d,drug_total_reports,reaction_total_reports,PRR,ROR,chi_squared,p_value,signal_detected
TRAMADOL,SEIZURE,369,369,1137,483,13011,1506,852,6.85,8.74,1103.12,0.0,True
SERTRALINE,SUICIDAL IDEATION,457,457,1041,955,12547,1498,1412,4.31,5.77,865.65,0.0,True
WARFARIN,GASTROINTESTINAL HAEMORRHAGE,814,814,636,2014,11536,1450,2828,3.78,7.33,1455.85,0.0,True
ATORVASTATIN,LIVER INJURY,310,310,1211,836,12643,1521,1146,3.29,3.87,387.41,0.0,True
PREDNISONE,TENDON RUPTURE,952,952,570,2974,10504,1522,3926,2.83,5.9,1157.85,0.0,True
ATORVASTATIN,ACUTE KIDNEY INJURY,25,25,1496,136,13343,1521,161,1.63,1.64,4.6,0.03189,False
IBUPROFEN,DIZZINESS,138,138,1347,986,12529,1485,1124,1.27,1.3,7.41,0.00647,False
LISINOPRIL,HEADACHE,159,159,1388,1096,12357,1547,1255,1.26,1.29,7.94,0.00483,False
LISINOPRIL,MYOCARDIAL INFARCTION,197,197,1350,1374,12079,1547,1571,1.25,1.28,9.14,0.0025,False
METFORMIN,INSOMNIA,98,98,1330,752,12820,1428,850,1.24,1.26,3.98,0.04604,False
OMEPRAZOLE,RASH,130,130,1331,979,12560,1461,1109,1.23,1.25,5.11,0.02376,False
AMOXICILLIN,MYOCARDIAL INFARCTION,198,198,1384,1373,12045,1582,1571,1.22,1.26,7.63,0.00575,False
LISINOPRIL,RASH,136,136,1411,973,12480,1547,1109,1.22,1.24,4.7,0.0302,False
AMOXICILLIN,RASH,138,138,1444,971,12447,1582,1109,1.21,1.23,4.35,0.03694,False
IBUPROFEN,NAUSEA,222,222,1263,1668,11847,1485,1890,1.21,1.25,8.03,0.00461,False
METFORMIN,MYOCARDIAL INFARCTION,176,176,1252,1395,12177,1428,1571,1.2,1.23,5.55,0.01843,False
AMOXICILLIN,DIZZINESS,138,138,1444,986,12432,1582,1124,1.19,1.2,3.66,0.05564,False
OMEPRAZOLE,HYPOGLYCAEMIA,182,182,1279,1432,12107,1461,1614,1.18,1.2,4.66,0.03084,False
WARFARIN,ACUTE KIDNEY INJURY,18,18,1432,143,13407,1450,161,1.18,1.18,0.27,0.60355,False
AMOXICILLIN,NAUSEA,229,229,1353,1661,11757,1582,1890,1.17,1.2,5.46,0.01947,False
OMEPRAZOLE,HEADACHE,141,141,1320,1114,12425,1461,1255,1.17,1.19,3.3,0.06932,False
IBUPROFEN,ANAPHYLACTIC REACTION,214,214,1271,1698,11817,1485,1912,1.15,1.17,3.94,0.04717,False
METFORMIN,HYPOGLYCAEMIA,174,174,1254,1440,12132,1428,1614,1.15,1.17,3.18,0.07477,False
OMEPRAZOLE,NAUSEA,209,209,1252,1681,11858,1461,1890,1.15,1.18,4.1,0.04277,False
AMOXICILLIN,ACUTE KIDNEY INJURY,19,19,1563,142,13276,1582,161,1.13,1.14,0.15,0.695,False
LISINOPRIL,NAUSEA,218,218,1329,1672,11781,1547,1890,1.13,1.16,3.34,0.06777,False
OMEPRAZOLE,ANAPHYLACTIC REACTION,207,207,1254,1705,11834,1461,1912,1.13,1.15,2.8,0.09416,False
ATORVASTATIN,MYOCARDIAL INFARCTION,176,176,1345,1395,12084,1521,1571,1.12,1.13,2.05,0.15241,False
IBUPROFEN,HEADACHE,137,137,1348,1118,12397,1485,1255,1.12,1.13,1.46,0.22628,False
AMOXICILLIN,FATIGUE,390,390,1192,2977,10441,1582,3367,1.11,1.15,4.8,0.02843,False
ATORVASTATIN,FATIGUE,375,375,1146,2992,10487,1521,3367,1.11,1.15,4.6,0.03195,False
METFORMIN,HEADACHE,131,131,1297,1124,12448,1428,1255,1.11,1.12,1.23,0.26802,False
OMEPRAZOLE,FATIGUE,359,359,1102,3008,10531,1461,3367,1.11,1.14,4.07,0.04374,False
OMEPRAZOLE,INSOMNIA,91,91,1370,759,12780,1461,850,1.11,1.12,0.84,0.35846,False
METFORMIN,DIZZINESS,117,117,1311,1007,12565,1428,1124,1.1,1.11,1.01,0.31571,False
METFORMIN,FATIGUE,348,348,1080,3019,10553,1428,3367,1.1,1.13,3.23,0.07222,False
AMOXICILLIN,HYPOGLYCAEMIA,184,184,1398,1430,11988,1582,1614,1.09,1.1,1.3,0.25472,False
IBUPROFEN,FATIGUE,360,360,1125,3007,10508,1485,3367,1.09,1.12,2.94,0.08643,False
IBUPROFEN,RASH,119,119,1366,990,12525,1485,1109,1.09,1.1,0.83,0.36287,False
METFORMIN,ANAPHYLACTIC REACTION,196,196,1232,1716,11856,1428,1912,1.09,1.1,1.26,0.26089,False
OMEPRAZOLE,MYOCARDIAL INFARCTION,166,166,1295,1405,12134,1461,1571,1.09,1.11,1.26,0.26154,False
IBUPROFEN,INSOMNIA,90,90,1395,760,12755,1485,850,1.08,1.08,0.4,0.52699,False
LISINOPRIL,HYPOGLYCAEMIA,178,178,1369,1436,12017,1547,1614,1.08,1.09,0.92,0.33871,False
LISINOPRIL,FATIGUE,368,368,1179,2999,10454,1547,3367,1.07,1.09,1.7,0.19258,False
LISINOPRIL,INSOMNIA,93,93,1454,757,12696,1547,850,1.07,1.07,0.32,0.57438,False
AMOXICILLIN,ANAPHYLACTIC REACTION,212,212,1370,1700,11718,1582,1912,1.06,1.07,0.62,0.43248,False
TRAMADOL,ACUTE KIDNEY INJURY,17,17,1489,144,13350,1506,161,1.06,1.06,0.01,0.92949,False
LISINOPRIL,DIZZINESS,121,121,1426,1003,12450,1547,1124,1.05,1.05,0.22,0.64062,False
METFORMIN,LIVER INJURY,114,114,1314,1032,12540,1428,1146,1.05,1.05,0.21,0.64487,False
METFORMIN,RASH,110,110,1318,999,12573,1428,1109,1.05,1.05,0.17,0.67659,False
ATORVASTATIN,HYPOGLYCAEMIA,170,170,1351,1444,12035,1521,1614,1.04,1.05,0.26,0.61018,False
ATORVASTATIN,INSOMNIA,89,89,1432,761,12718,1521,850,1.04,1.04,0.07,0.78697,False
SERTRALINE,DIZZINESS,116,116,1382,1008,12494,1498,1124,1.04,1.04,0.11,0.73676,False
TRAMADOL,HEADACHE,130,130,1376,1125,12369,1506,1255,1.04,1.04,0.12,0.73143,False
IBUPROFEN,HYPOGLYCAEMIA,164,164,1321,1450,12065,1485,1614,1.03,1.03,0.11,0.74316,False
METFORMIN,NAUSEA,185,185,1243,1705,11867,1428,1890,1.03,1.04,0.15,0.70151,False
TRAMADOL,DIZZINESS,116,116,1390,1008,12486,1506,1124,1.03,1.03,0.07,0.78447,False
TRAMADOL,ANAPHYLACTIC REACTION,193,193,1313,1719,11775,1506,1912,1.01,1.01,0.0,0.96522,False
AMOXICILLIN,TENDON RUPTURE,413,413,1169,3513,9905,1582,3926,1.0,1.0,0.0,0.97288,False
AMOXICILLIN,INSOMNIA,89,89,1493,761,12657,1582,850,0.99,0.99,0.0,0.98655,False
IBUPROFEN,LIVER INJURY,112,112,1373,1034,12481,1485,1146,0.99,0.98,0.01,0.92179,False
IBUPROFEN,MYOCARDIAL INFARCTION,154,154,1331,1417,12098,1485,1571,0.99,0.99,0.01,0.9268,False
SERTRALINE,ANAPHYLACTIC REACTION,190,190,1308,1722,11780,1498,1912,0.99,0.99,0.0,0.97101,False
ATORVASTATIN,ANAPHYLACTIC REACTION,189,189,1332,1723,11756,1521,1912,0.97,0.97,0.13,0.72259,False
LISINOPRIL,ANAPHYLACTIC REACTION,192,192,1355,1720,11733,1547,1912,0.97,0.97,0.14,0.70571,False
SERTRALINE,RASH,108,108,1390,1001,12501,1498,1109,0.97,0.97,0.05,0.81468,False
TRAMADOL,INSOMNIA,83,83,1423,767,12727,1506,850,0.97,0.97,0.05,0.82882,False
TRAMADOL,NAUSEA,184,184,1322,1706,11788,1506,1890,0.97,0.96,0.19,0.66697,False
ATORVASTATIN,RASH,108,108,1413,1001,12478,1521,1109,0.96,0.95,0.17,0.68284,False
LISINOPRIL,LIVER INJURY,114,114,1433,1032,12421,1547,1146,0.96,0.96,0.14,0.70914,False
OMEPRAZOLE,DIZZINESS,105,105,1356,1019,12520,1461,1124,0.95,0.95,0.17,0.67739,False
SERTRALINE,INSOMNIA,81,81,1417,769,12733,1498,850,0.95,0.95,0.16,0.68997,False
TRAMADOL,RASH,106,106,1400,1003,12491,1506,1109,0.95,0.94,0.25,0.61503,False
AMOXICILLIN,HEADACHE,125,125,1457,1130,12288,1582,1255,0.94,0.93,0.43,0.51011,False
ATORVASTATIN,NAUSEA,181,181,1340,1709,11770,1521,1890,0.94,0.93,0.68,0.40824,False
SERTRALINE,HEADACHE,118,118,1380,1137,12365,1498,1255,0.94,0.93,0.45,0.50158,False
SERTRALINE,ACUTE KIDNEY INJURY,15,15,1483,146,13356,1498,161,0.93,0.93,0.02,0.87848,False
TRAMADOL,FATIGUE,313,313,1193,3054,10440,1506,3367,0.92,0.9,2.55,0.10996,False
ATORVASTATIN,HEADACHE,117,117,1404,1138,12341,1521,1255,0.91,0.9,0.91,0.34051,False
METFORMIN,TENDON RUPTURE,339,339,1089,3587,9985,1428,3926,0.9,0.87,4.7,0.03016,False
METFORMIN,GASTROINTESTINAL HAEMORRHAGE,241,241,1187,2587,10985,1428,2828,0.89,0.86,3.89,0.04861,False
METFORMIN,SUICIDAL IDEATION,121,121,1307,1291,12281,1428,1412,0.89,0.88,1.52,0.21828,False
TRAMADOL,HYPOGLYCAEMIA,146,146,1360,1468,12026,1506,1614,0.89,0.88,1.86,0.17289,False
ATORVASTATIN,DIZZINESS,102,102,1419,1022,12457,1521,1124,0.88,0.88,1.39,0.23849,False
OMEPRAZOLE,ACUTE KIDNEY INJURY,14,14,1447,147,13392,1461,161,0.88,0.88,0.1,0.75222,False
OMEPRAZOLE,GASTROINTESTINAL HAEMORRHAGE,245,245,1216,2583,10956,1461,2828,0.88,0.85,4.45,0.035,False
OMEPRAZOLE,LIVER INJURY,99,99,1362,1047,12492,1461,1146,0.88,0.87,1.58,0.20894,False
SERTRALINE,FATIGUE,299,299,1199,3068,10434,1498,3367,0.88,0.85,5.75,0.01645,False
TRAMADOL,MYOCARDIAL INFARCTION,141,141,1365,1430,12064,1506,1571,0.88,0.87,2.07,0.14991,False
IBUPROFEN,ACUTE KIDNEY INJURY,14,14,1471,147,13368,1485,161,0.87,0.87,0.15,0.70263,False
SERTRALINE,NAUSEA,167,167,1331,1723,11779,1498,1890,0.87,0.86,3.04,0.08121,False
IBUPROFEN,TENDON RUPTURE,339,339,1146,3587,9928,1485,3926,0.86,0.82,9.35,0.00223,False
LISINOPRIL,GASTROINTESTINAL HAEMORRHAGE,254,254,1293,2574,10879,1547,2828,0.86,0.83,6.51,0.01075,False
PREDNISONE,HYPOGLYCAEMIA,143,143,1379,1471,12007,1522,1614,0.86,0.85,3.13,0.07696,False
SERTRALINE,HYPOGLYCAEMIA,140,140,1358,1474,12028,1498,1614,0.86,0.84,3.3,0.06909,False
OMEPRAZOLE,SUICIDAL IDEATION,119,119,1342,1293,12246,1461,1412,0.85,0.84,2.89,0.0891,False
LISINOPRIL,TENDON RUPTURE,346,346,1201,3580,9873,1547,3926,0.84,0.79,12.72,0.00036,False
PREDNISONE,FATIGUE,291,291,1231,3076,10402,1522,3367,0.84,0.8,10.56,0.00116,False
SERTRALINE,MYOCARDIAL INFARCTION,134,134,1364,1437,12065,1498,1571,0.84,0.82,3.97,0.04645,False
WARFARIN,ANAPHYLACTIC REACTION,158,158,1292,1754,11796,1450,1912,0.84,0.82,4.76,0.02917,False
WARFARIN,HEADACHE,104,104,1346,1151,12399,1450,1255,0.84,0.83,2.82,0.09332,False
WARFARIN,HYPOGLYCAEMIA,133,133,1317,1481,12069,1450,1614,0.84,0.82,4.03,0.04464,False
IBUPROFEN,GASTROINTESTINAL HAEMORRHAGE,236,236,1249,2592,10923,1485,2828,0.83,0.8,9.23,0.00238,False
LISINOPRIL,ACUTE KIDNEY INJURY,14,14,1533,147,13306,1547,161,0.83,0.83,0.3,0.58349,False
METFORMIN,ACUTE KIDNEY INJURY,13,13,1415,148,13424,1428,161,0.83,0.83,0.24,0.62179,False
PREDNISONE,INSOMNIA,72,72,1450,778,12700,1522,850,0.82,0.81,2.58,0.10788,False
OMEPRAZOLE,TENDON RUPTURE,317,317,1144,3609,9930,1461,3926,0.81,0.76,16.53,5e-05,False
PREDNISONE,ANAPHYLACTIC REACTION,161,161,1361,1751,11727,1522,1912,0.81,0.79,6.95,0.0084,False
AMOXICILLIN,GASTROINTESTINAL HAEMORRHAGE,244,244,1338,2584,10834,1582,2828,0.8,0.76,13.35,0.00026,False
WARFARIN,FATIGUE,264,264,1186,3103,10447,1450,3367,0.8,0.75,16.31,5e-05,False
WARFARIN,NAUSEA,147,147,1303,1743,11807,1450,1890,0.79,0.76,8.59,0.00338,False
LISINOPRIL,SUICIDAL IDEATION,116,116,1431,1296,12157,1547,1412,0.78,0.76,7.17,0.00742,False
SERTRALINE,TENDON RUPTURE,312,312,1186,3614,9888,1498,3926,0.78,0.72,24.3,0.0,False
TRAMADOL,TENDON RUPTURE,313,313,1193,3613,9881,1506,3926,0.78,0.72,24.86,0.0,False
AMOXICILLIN,LIVER INJURY,94,94,1488,1052,12366,1582,1146,0.76,0.74,6.96,0.00833,False
ATORVASTATIN,TENDON RUPTURE,310,310,1211,3616,9863,1521,3926,0.76,0.7,29.05,0.0,False
IBUPROFEN,SUICIDAL IDEATION,109,109,1376,1303,12212,1485,1412,0.76,0.74,8.04,0.00457,False
WARFARIN,INSOMNIA,64,64,1386,786,12764,1450,850,0.76,0.75,4.46,0.03475,False
AMOXICILLIN,SUICIDAL IDEATION,115,115,1467,1297,12121,1582,1412,0.75,0.73,9.25,0.00235,False
LISINOPRIL,SEIZURE,68,68,1479,784,12669,1547,852,0.75,0.74,5.05,0.02466,False
PREDNISONE,NAUSEA,148,148,1374,1742,11736,1522,1890,0.75,0.73,12.43,0.00042,False
WARFARIN,DIZZINESS,84,84,1366,1040,12510,1450,1124,0.75,0.74,6.43,0.01125,False
PREDNISONE,DIZZINESS,87,87,1435,1037,12441,1522,1124,0.74,0.73,7.44,0.0064,False
PREDNISONE,MYOCARDIAL INFARCTION,121,121,1401,1450,12028,1522,1571,0.74,0.72,11.2,0.00082,False
METFORMIN,SEIZURE,61,61,1367,791,12781,1428,852,0.73,0.72,5.56,0.01842,False
WARFARIN,TENDON RUPTURE,285,285,1165,3641,9909,1450,3926,0.73,0.67,34.92,0.0,False
SERTRALINE,GASTROINTESTINAL HAEMORRHAGE,208,208,1290,2620,10882,1498,2828,0.72,0.67,26.49,0.0,False
SERTRALINE,LIVER INJURY,85,85,1413,1061,12441,1498,1146,0.72,0.71,8.81,0.003,False
IBUPROFEN,SEIZURE,62,62,1423,790,12725,1485,852,0.71,0.7,6.66,0.00986,False
PREDNISONE,ACUTE KIDNEY INJURY,12,12,1510,149,13329,1522,161,0.71,0.71,1.01,0.31408,False
PREDNISONE,HEADACHE,93,93,1429,1162,12316,1522,1255,0.71,0.69,10.92,0.00095,False
WARFARIN,SUICIDAL IDEATION,98,98,1352,1314,12236,1450,1412,0.7,0.67,12.92,0.00032,False
ATORVASTATIN,GASTROINTESTINAL HAEMORRHAGE,204,204,1317,2624,10855,1521,2828,0.69,0.64,32.36,0.0,False
WARFARIN,MYOCARDIAL INFARCTION,108,108,1342,1463,12087,1450,1571,0.69,0.66,15.31,9e-05,False
WARFARIN,RASH,76,76,1374,1033,12517,1450,1109,0.69,0.67,10.51,0.00119,False
PREDNISONE,RASH,78,78,1444,1031,12447,1522,1109,0.67,0.65,12.37,0.00044,False
TRAMADOL,GASTROINTESTINAL HAEMORRHAGE,196,196,1310,2632,10862,1506,2828,0.67,0.62,36.88,0.0,False
ATORVASTATIN,SUICIDAL IDEATION,97,97,1424,1315,12164,1521,1412,0.65,0.63,17.9,2e-05,False
ATORVASTATIN,SEIZURE,57,57,1464,795,12684,1521,852,0.64,0.62,11.4,0.00073,False
AMOXICILLIN,SEIZURE,59,59,1523,793,12625,1582,852,0.63,0.62,12.16,0.00049,False
OMEPRAZOLE,SEIZURE,54,54,1407,798,12741,1461,852,0.63,0.61,11.48,0.0007,False
PREDNISONE,LIVER INJURY,76,76,1446,1070,12408,1522,1146,0.63,0.61,16.4,5e-05,False
TRAMADOL,LIVER INJURY,75,75,1431,1071,12423,1506,1146,0.63,0.61,16.37,5e-05,False
PREDNISONE,GASTROINTESTINAL HAEMORRHAGE,186,186,1336,2642,10836,1522,2828,0.62,0.57,48.23,0.0,False
TRAMADOL,SUICIDAL IDEATION,90,90,1416,1322,12172,1506,1412,0.61,0.59,22.75,0.0,False
PREDNISONE,SUICIDAL IDEATION,90,90,1432,1322,12156,1522,1412,0.6,0.58,23.88,0.0,False
WARFARIN,LIVER INJURY,67,67,1383,1079,12471,1450,1146,0.58,0.56,20.27,1e-05,False
WARFARIN,SEIZURE,44,44,1406,808,12742,1450,852,0.51,0.49,20.43,1e-05,False
SERTRALINE,SEIZURE,41,41,1457,811,12691,1498,852,0.46,0.44,26.3,0.0,False
PREDNISONE,SEIZURE,37,37,1485,815,12663,1522,852,0.4,0.39,32.7,0.0,False
